Year,Level of institution,Control of institution,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
21-22,All less-than-2-year institutions (cohort year 2019),Public,Total,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-22,All less-than-2-year institutions (cohort year 2019),Private nonprofit,Total,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-22,All less-than-2-year institutions (cohort year 2019),Private for-profit,Total,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-23,All 4-year institutions1 (cohort year 2017),Total,Total,61,37.9,75.8,41.8,53.4,48.8,65.6,57.2,54.9,71.1
22-23,All 4-year institutions1 (cohort year 2017),Total,Men,57.3,34,72.1,35.8,48.3,46.5,62.1,53.5,51.3,67.4
22-23,All 4-year institutions1 (cohort year 2017),Total,Women,64,40.8,79.1,46.3,57.2,50.7,68.5,60,58.1,75.4
22-23,All 4-year institutions1 (cohort year 2017),Public,Total,58.8,34.8,73.9,40.5,50.9,45.5,63.4,54.6,56.3,67.3
22-23,All 4-year institutions1 (cohort year 2017),Public,Men,55.2,31.3,70.2,34.4,45.5,43.6,59.9,51.2,53,64.4
22-23,All 4-year institutions1 (cohort year 2017),Public,Women,61.8,37.5,77.5,44.8,54.9,47.3,66.5,57.3,59.4,70.9
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Total,67.8,48.2,81.8,46.7,62.6,53.7,71.5,65.6,59.9,77
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Men,63.8,42.8,79.2,39.5,58.2,50.4,68.1,61.4,55.2,72.6
22-23,All 4-year institutions1 (cohort year 2017),Private nonprofit,Women,71.1,52.3,83.6,52.6,65.7,56.5,74.3,68.6,63.8,81.6
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Total,44.4,39,65.1,31.7,54.5,52.5,45.4,41.9,32.8,64.2
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Men,42.9,36.2,61.5,31.9,53.1,53,44.7,41.8,28.3,58.8
22-23,All 4-year institutions1 (cohort year 2017),Private for-profit,Women,45.4,40.4,68,31.5,55.5,52.3,45.9,42,36,69.1
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Total,64.5,41.3,78.3,45.4,58.6,50.5,68.1,60.5,58.8,73.5
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Men,60.9,37.8,75,38.7,53.7,49.6,64.7,56.9,55.5,69.6
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Total,Women,67.5,43.7,81.1,50.3,62.2,51.2,71,63.2,61.7,78
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Public,Total,63.4,40.2,77,45.1,57.6,52.6,66.8,58.8,62.9,71.1
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Public,Men,59.9,36.2,73.6,38.6,52.4,51,63.4,55.5,60.2,67.9
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Public,Women,66.3,43.1,80.1,49.5,61.4,54.2,69.7,61.3,65.3,75.3
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private nonprofit,Total,68.5,50.4,82.2,47.6,63.3,54.5,72,66.2,60.9,77
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private nonprofit,Men,64.4,45.6,79.7,40,58.9,51.1,68.4,61.8,56.1,72.6
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private nonprofit,Women,71.8,54,83.9,54.1,66.4,57.4,74.8,69.4,64.9,81.6
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private for-profit,Total,32.3,10.6,55.5,25.7,36.9,14.2,33.1,29.6,20,63.5
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private for-profit,Men,34.7,17.2,55.8,27.3,38.9,23.2,37.2,32.8,21,56.9
22-23,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2017),Private for-profit,Women,30.1,7,55.2,24,35.2,9.9,29.2,26.4,19.1,69.2
22-23,All 2-year institutions (cohort year 2020),Total,Total,39.4,38.4,47.7,32.8,37.2,38.8,42.3,34.8,41.1,43.2
22-23,All 2-year institutions (cohort year 2020),Total,Men,39,39,44.5,30.8,36.1,40.4,42.7,35,38.1,39.6
22-23,All 2-year institutions (cohort year 2020),Total,Women,39.7,37.9,51,34.1,38.1,37.7,41.9,34.6,43.6,46.8
22-23,All 2-year institutions (cohort year 2020),Public,Total,33.8,29.1,44.2,24,29.6,26.4,38.1,29.9,30.2,40.6
22-23,All 2-year institutions (cohort year 2020),Public,Men,33.9,31.5,41.4,23.3,28.2,29.9,38.9,29.9,29.9,37.4
22-23,All 2-year institutions (cohort year 2020),Public,Women,33.8,27.4,47.2,24.5,30.7,23.6,37.3,30,30.5,43.8
22-23,All 2-year institutions (cohort year 2020),Private nonprofit,Total,58.5,51,83.9,47.2,63.2,46.1,67.2,46.3,64.4,93.3
22-23,All 2-year institutions (cohort year 2020),Private nonprofit,Men,57,36.5,83.3,38.9,65.5,56.3,68,38.1,63.1,92.2
22-23,All 2-year institutions (cohort year 2020),Private nonprofit,Women,58.8,53.6,84.2,48.8,61.8,44.4,67,51.2,64.5,94.6
22-23,All 2-year institutions (cohort year 2020),Private for-profit,Total,60,59.1,71.5,48.4,64.9,61.4,65,55.9,55.6,70.1
22-23,All 2-year institutions (cohort year 2020),Private for-profit,Men,62,59.9,73,51.7,66.4,66.8,66.1,58.5,52.3,66.1
22-23,All 2-year institutions (cohort year 2020),Private for-profit,Women,58.5,58.6,70.4,46.7,63.9,58.8,64,53.8,58.1,72.1
22-23,Less-than-2-year institutions (cohort year 2020),Total,Total,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-23,Less-than-2-year institutions (cohort year 2020),Public,Total,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-23,Less-than-2-year institutions (cohort year 2020),Private nonprofit,Total,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-23,Less-than-2-year institutions (cohort year 2020),Private for-profit,Total,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-24,All 4-year institutions1 (cohort year 2018),Total,Total,61,37.4,76.1,42.2,53.1,47.5,65.5,57,54.9,71.2
23-24,All 4-year institutions1 (cohort year 2018),Total,Men,57.3,34.7,72.5,35.9,48.2,43.9,62,53.3,51,67.4
23-24,All 4-year institutions1 (cohort year 2018),Total,Women,64,39.4,79.3,46.7,56.7,50.5,68.5,59.8,58.4,75.4
23-24,All 4-year institutions1 (cohort year 2018),Public,Total,58.9,34.6,74.3,41.3,50.5,44.6,63.6,54.7,57,67.6
23-24,All 4-year institutions1 (cohort year 2018),Public,Men,55.3,32.3,70.5,34.8,45.2,41.6,60,51.1,53.2,64.9
23-24,All 4-year institutions1 (cohort year 2018),Public,Women,61.9,36.3,77.8,45.8,54.5,47.3,66.6,57.4,60.6,71
23-24,All 4-year institutions1 (cohort year 2018),Private nonprofit,Total,67.7,47.8,82,46.4,63.1,54.4,71.2,64.6,59.2,76.5
23-24,All 4-year institutions1 (cohort year 2018),Private nonprofit,Men,63.7,43.7,79.6,39.6,59.4,48.5,67.6,60.6,54.5,71.8
23-24,All 4-year institutions1 (cohort year 2018),Private nonprofit,Women,70.9,51,83.7,52.1,65.6,59,74.1,67.5,63.3,81.2
23-24,All 4-year institutions1 (cohort year 2018),Private for-profit,Total,42.9,34,64.4,30.6,51.7,45,43.3,41.4,35.7,65.3
23-24,All 4-year institutions1 (cohort year 2018),Private for-profit,Men,40.4,29.1,59.1,28.5,49.7,46.6,42.2,40.6,31.6,57
23-24,All 4-year institutions1 (cohort year 2018),Private for-profit,Women,44.7,36.7,67.8,32.2,53.1,44.1,44.1,42.1,38.9,72
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Total,Total,64.8,41.9,78.6,45.6,59.1,52,68.2,60.7,59.3,73.6
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Total,Men,61.1,39.4,75.3,38.8,54.5,47.9,64.7,57.1,55.6,69.7
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Total,Women,67.7,43.7,81.5,50.5,62.4,55.4,71.1,63.4,62.7,78.1
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Public,Total,63.8,40,77.4,45.7,58,51.8,67.1,59.3,64.2,71.6
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Public,Men,60.4,37.7,74,38.9,52.9,48,63.7,55.9,60.8,68.6
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Public,Women,66.7,41.6,80.7,50.1,61.7,55.1,70,61.9,67.3,75.4
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private nonprofit,Total,68.2,49.3,82.2,47.2,63.6,54.8,71.4,65.1,60,76.5
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private nonprofit,Men,64.1,46.5,79.9,39.9,60.1,49.2,67.7,61.1,55,71.8
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private nonprofit,Women,71.5,51.4,83.8,53.3,66.1,58.9,74.4,68,64.2,81.3
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private for-profit,Total,34,22.2,55,23.5,39.2,31.9,34.4,32.5,25.4,64.5
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private for-profit,Men,34.4,21.5,49,23.5,39,35.3,36.7,35.1,27.8,54
23-24,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2018),Private for-profit,Women,33.6,23,60.5,23.5,39.3,29.4,32.1,29.8,22.9,72.6
23-24,All 2-year institutions (cohort year 2021),Total,Total,42.7,40.6,49.7,35.3,41.5,42.8,45.5,38.2,43.9,43.3
23-24,All 2-year institutions (cohort year 2021),Total,Men,42,40.3,45.8,32.6,40,38.8,45.9,38.7,41.5,40.5
23-24,All 2-year institutions (cohort year 2021),Total,Women,43.3,40.8,53.8,37.2,42.8,45.9,45.1,37.7,45.8,46.5
23-24,All 2-year institutions (cohort year 2021),Public,Total,36.7,31.9,45.4,25.6,32.2,28.7,41.5,32.8,34.2,41.5
23-24,All 2-year institutions (cohort year 2021),Public,Men,36.8,33,42.7,24.7,31.2,28.1,42.2,33.1,33.9,38.9
23-24,All 2-year institutions (cohort year 2021),Public,Women,36.6,31,48.4,26.4,33.1,29.3,40.6,32.5,34.6,44.5
23-24,All 2-year institutions (cohort year 2021),Private nonprofit,Total,59.3,58.2,87.6,47.1,68.1,52.5,68.3,58.9,60.4,86.7
23-24,All 2-year institutions (cohort year 2021),Private nonprofit,Men,61,55.4,88.4,38.6,72.3,72.2,74.3,56.3,49.1,83
23-24,All 2-year institutions (cohort year 2021),Private nonprofit,Women,58.8,58.9,87.3,48.7,65.3,49,66.9,61.1,64.7,90.3
23-24,All 2-year institutions (cohort year 2021),Private for-profit,Total,64.6,59.5,77.3,53.4,70.2,65.5,67.8,60.1,59.7,69.3
23-24,All 2-year institutions (cohort year 2021),Private for-profit,Men,65.8,59.3,73,55.7,70.3,61.1,68.2,61.3,62.3,69.1
23-24,All 2-year institutions (cohort year 2021),Private for-profit,Women,63.7,59.6,80,52.2,70.2,68.2,67.3,58.9,58.4,69.3
23-24,Less-than-2-year institutions (cohort year 2021),Total,Total,71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-24,Less-than-2-year institutions (cohort year 2021),Public,Total,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-24,Less-than-2-year institutions (cohort year 2021),Private nonprofit,Total,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-24,Less-than-2-year institutions (cohort year 2021),Private for-profit,Total,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
